,,vizM_HDAT,bool,,Horizontal datum of data,,,,,,,,,,,
,,vizM_HOPA,bool,,Horizontal datum shift parameters,,,,,,,,,,,
,,vizM_NPUB,bool,,Nautical publication information,,,,,,,,,,,
,,vizM_NSYS,bool,,Navigational system of marks,,,,,,,,,,,
,,vizM_PROD,bool,,Production information,,,,,,,,,,,
,,vizM_QUAL,bool,,Quality of data,,,,,,,,,,,
,,vizM_SDAT,bool,,Sounding datum,,,,,,,,,,,
,,vizM_SREL,bool,,Survey reliability,,,,,,,,,,,
,,vizM_UNIT,bool,,Units of measurement of data,,,,,,,,,,,
,,vizM_VDAT,bool,,Vertical datum of data,,,,,,,,,,,
,,vizC_AGGR,bool,,Aggregation,,,,,,,,,,,
,,vizC_ASSO,bool,,Association,,,,,,,,,,,
,,vizC_STAC,bool,,Stacked on/stacked under,,,,,,,,,,,
,,viz$AREAS,bool,,Cartographic area,,,,,,,,,,,
,,viz$LINES,bool,,Cartographic line,,,,,,,,,,,
,,viz$CSYMB,bool,,Cartographic symbol,,,,,,,,,,,
,,viz$COMPS,bool,,Compass,,,,,,,,,,,
,,viz$TEXTS,bool,,Text,,,,,,,,,,,
,,vizachbrt,bool,,Anchor berth,,,,,,,,,,,
,,vizachare,bool,,Anchorage area,,,,,,,,,,,
,,vizcanbnk,bool,,Canal bank,,,,,,,,,,,
,,vizdepare,bool,,Depth area,,,,,,,,,,,
,,vizdismar,bool,,distance mark,,,,,,,,,,,
,,vizresare,bool,,Restricted area,,,,,,,,,,,
,,vizrivbnk,bool,,River bank,,,,,,,,,,,
,,vizsistat,bool,,"Signal station, traffic",,,,,,,,,,,
,,vizsistaw,bool,,"Signal station, warning",,,,,,,,,,,
,,viztopmar,bool,,Top Mark,,,,,,,,,,,
,,vizberths,bool,,Berth,,,,,,,,,,,
,,vizbridge,bool,,Bridge,,,,,,,,,,,
,,vizcblohd,bool,,"Cable, overhead",,,,,,,,,,,
,,vizferyrt,bool,,Ferry route,,,,,,,,,,,
,,vizhrbare,bool,,Harbour area (administrative),,,,,,,,,,,
,,vizhrbfac,bool,,Harbour facility,,,,,,,,,,,
,,vizlokbsn,bool,,Lock basin,,,,,,,,,,,
,,vizrdocal,bool,,Radio calling-in point,,,,,,,,,,,
,,vizm_nsys,bool,,Navigational system of marks,,,,,,,,,,,
,,vizcurent,bool,,"Current, non-gravitational",,,,,,,,,,,
,,vizhulkes,bool,,Hulk,,,,,,,,,,,
,,vizponton,bool,,Pontoon,,,,,,,,,,,
,,vizm_sdat,bool,,Sounding datum,,,,,,,,,,,
,,vizm_vdat,bool,,Vertical datum,,,,,,,,,,,
,,vizpipohd,bool,,"Pipeline, overhead",,,,,,,,,,,
,,vizflodoc,bool,,Floating dock,,,,,,,,,,,
,,vizchkpnt,bool,,Checkpoint,,,,,,,,,,,
,,vizbcnlat,bool,,"Beacon, lateral",,,,,,,,,,,
,,vizboylat,bool,,"Buoy, lateral",,,,,,,,,,,
,,vizcranes,bool,,Crane,,,,,,,,,,,
,,vizgatcon,bool,,Gate,,,,,,,,,,,
,,vizslcons,bool,,Shoreline Construction,,,,,,,,,,,
,,vizuwtroc,bool,,Underwater rock / awash rock,,,,,,,,,,,
,,vizconvyr,bool,,Conveyor,,,,,,,,,,,
,,viznotmrk,bool,,Notice mark,,,,,,,,,,,
,,vizwtwaxs,bool,,waterway axis,,,,,,,,,,,
,,vizwtwprf,bool,,waterway profile,,,,,,,,,,,
,,vizbrgare,bool,,Bridge area,,,,,,,,,,,
,,vizbunsta,bool,,Bunker station,,,,,,,,,,,
,,vizcomare,bool,,Communication area,,,,,,,,,,,
,,vizhrbbsn,bool,,Harbour basin,,,,,,,,,,,
,,vizlokare,bool,,Lock area,,,,,,,,,,,
,,vizlkbspt,bool,,Lock basin part,,,,,,,,,,,
,,vizprtare,bool,,port area,,,,,,,,,,,
,,vizbcnwtw,bool,,Beacon water-way,,,,,,,,,,,
,,vizboywtw,bool,,Buoy water-way,,,,,,,,,,,
,,vizrefdmp,bool,,refuse dump,,,,,,,,,,,
,,vizrtplpt,bool,,Route planning point,,,,,,,,,,,
,,viztermnl,bool,,terminal,,,,,,,,,,,
,,viztrnbsn,bool,,turning basin,,,,,,,,,,,
,,vizwtware,bool,,Waterway area,,,,,,,,,,,
,,vizwtwgag,bool,,Waterway gauge,,,,,,,,,,,
,,viztisdge,bool,,Time Schedule - in general,,,,,,,,,,,
,,vizvehtrf,bool,,Vehicle transfer,,,,,,,,,,,
,,vizexcnst,bool,,Exceptional navigation structure,,,,,,,,,,,
,,vizlg_sdm,bool,,Maximum permitted ship dimensions,,,,,,,,,,,
,,vizlg_vsp,bool,,Maximum permitted vessel speed,,,,,,,,,,,
,,vizANNOTA,bool,,Annotation,,,,,,,,,,,
,,vizRESTRC,bool,,Generic Boundary,,,,,,,,,,,
,,vizTRFLNE,bool,,Traffic Line,,,,,,,,,,,
,,vizGENNAV,bool,,Generic NavAid,,,,,,,,,,,
